Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Year_lastUpdated,Current Ver,Android Ver
PERSONALIZATION,4.1,2645,1.1,50000,Paid,0.99,Everyone,2015,yes,yes
TOOLS,4.2,161,1.2,5000,Paid,0.99,Everyone,2018,yes,yes
LIFESTYLE,5,12,1.2,100,Paid,0.99,Teen,2014,yes,yes
TOOLS,4,5,1.4,100,Paid,0.99,Everyone,2015,yes,yes
SOCIAL,3.2,38,1.5,1000,Paid,0.99,Everyone,2018,yes,yes
MAPS_AND_NAVIGATION,4.5,62,1.6,1000,Paid,0.99,Everyone,2018,yes,yes
TOOLS,4.1,1129,1.7,10000,Paid,0.99,Everyone,2018,yes,yes
TOOLS,4.6,82,1.7,500,Paid,0.99,Everyone,2017,yes,yes
PRODUCTIVITY,5,2,1.7,10,Paid,0.99,Everyone,2018,yes,yes
VIDEO_PLAYERS,3.1,167,2,1000,Paid,0.99,Everyone,2018,yes,yes
TOOLS,4.3,56,2,1000,Paid,0.99,Everyone,2014,yes,yes
MEDICAL,4.6,66,2.6,5000,Paid,0.99,Everyone,2013,yes,yes
TOOLS,3.5,412,2.6,5000,Paid,0.99,Everyone,2015,yes,yes
TOOLS,4.5,14,2.9,500,Paid,0.99,Everyone,2017,yes,yes
TOOLS,4.2,11,3.1,500,Paid,0.99,Everyone,2018,yes,yes
TOOLS,5,2,3.3,10,Paid,0.99,Everyone,2018,yes,yes
MEDICAL,3,4,3.4,500,Paid,0.99,Everyone,2017,yes,yes
PERSONALIZATION,4.4,5,3.4,50,Paid,0.99,Everyone,2015,yes,yes
BOOKS_AND_REFERENCE,4.1,70,3.5,500,Paid,0.99,Everyone,2013,yes,yes
PERSONALIZATION,4.1,21,3.6,100,Paid,0.99,Everyone,2017,yes,yes
TOOLS,4.6,251,3.8,1000,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4.4,31,4.2,100,Paid,0.99,Everyone,2013,yes,yes
SPORTS,4.5,117,4.4,1000,Paid,0.99,Everyone,2017,yes,yes
SPORTS,4.7,163,4.6,1000,Paid,0.99,Everyone,2017,yes,yes
FAMILY,4.2,3195,4.6,100000,Paid,0.99,Everyone,2015,yes,yes
MEDICAL,4.2,178,4.8,1000,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.4,175,5.5,1000,Paid,0.99,Everyone,2014,yes,yes
LIFESTYLE,4.5,231,5.7,5000,Paid,0.99,Everyone,2017,yes,yes
PRODUCTIVITY,3.9,127,5.9,1000,Paid,0.99,Everyone,2017,yes,yes
COMMUNICATION,2.3,42,6,1000,Paid,0.99,Everyone,2017,yes,yes
GAME,4.6,8,6.3,100,Paid,0.99,Teen,2015,yes,yes
PERSONALIZATION,3.1,112,8.8,1000,Paid,0.99,Everyone,2017,yes,yes
FAMILY,4.5,48754,9.3,100000,Paid,0.99,Everyone,2014,yes,yes
SOCIAL,4.2,204,9.4,5000,Paid,0.99,Everyone,2017,yes,yes
COMMUNICATION,4.8,341,9.6,5000,Paid,0.99,Everyone,2015,yes,yes
PERSONALIZATION,4.6,89,11,5000,Paid,0.99,Everyone,2017,yes,yes
PERSONALIZATION,4.6,14026,12,100000,Paid,0.99,Everyone,2014,yes,yes
PERSONALIZATION,5,4,12,100,Paid,0.99,Everyone,2018,yes,yes
GAME,4.2,4569,12,100000,Paid,0.99,Everyone,2014,yes,yes
PERSONALIZATION,4.3,444,12,10000,Paid,0.99,Everyone,2013,yes,yes
GAME,4.6,169,13,1000,Paid,0.99,Everyone,2015,yes,yes
FAMILY,4,179,14,50000,Paid,0.99,Everyone,2018,yes,yes
GAME,4,21,14,5000,Paid,0.99,Everyone,2017,yes,yes
FAMILY,4.4,38,16,100,Paid,0.99,Everyone,2018,yes,yes
GAME,5,2,16,1,Paid,0.99,Everyone,2017,yes,yes
PERSONALIZATION,4,13,19,100,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.2,12,19,100,Paid,0.99,Everyone,2015,yes,yes
COMMUNICATION,3.7,21,20,500,Paid,0.99,Everyone,2018,yes,yes
SPORTS,4.4,656,22,5000,Paid,0.99,Everyone,2016,yes,yes
MAPS_AND_NAVIGATION,2.8,440,23,10000,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4.6,84114,23,500000,Paid,0.99,Everyone 10+,2018,yes,yes
GAME,4.3,56,23,1000,Paid,0.99,Everyone,2014,yes,yes
FAMILY,4.5,9699,23,100000,Paid,0.99,Teen,2018,yes,yes
PERSONALIZATION,4.6,354,24,10000,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.6,252,24,10000,Paid,0.99,Everyone,2018,yes,yes
GAME,4.2,2460,25,50000,Paid,0.99,Mature 17+,2016,yes,yes
PERSONALIZATION,4.3,58617,26,1000000,Paid,0.99,Everyone,2016,yes,yes
NEWS_AND_MAGAZINES,4.7,143,26,5000,Paid,0.99,Mature 17+,2018,yes,yes
PERSONALIZATION,4.5,56,26,10000,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.3,58614,26,1000000,Paid,0.99,Everyone,2016,yes,yes
GAME,3.4,32,27,1000,Paid,0.99,Everyone 10+,2017,yes,yes
GAME,3.8,466,28,10000,Paid,0.99,Everyone,2017,yes,yes
GAME,4.3,12,29,100,Paid,0.99,Everyone,2017,yes,yes
GAME,4.6,408292,29,10000000,Paid,0.99,Mature 17+,2018,yes,yes
GAME,4.5,32344,29,1000000,Paid,0.99,Everyone,2016,yes,yes
PERSONALIZATION,5,4,31,50,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4.2,1088,35,10000,Paid,0.99,Everyone 10+,2014,yes,yes
PERSONALIZATION,4.8,5,35,50,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,5,2,35,10,Paid,0.99,Everyone,2018,yes,yes
GAME,4.3,85468,36,1000000,Paid,0.99,Everyone,2018,yes,yes
GAME,3.5,23,37,1000,Paid,0.99,Everyone,2017,yes,yes
GAME,5,8,38,10,Paid,0.99,Teen,2018,yes,yes
PERSONALIZATION,4.7,25,41,100,Paid,0.99,Everyone,2015,yes,yes
FAMILY,4.8,4,42,100,Paid,0.99,Everyone,2015,yes,yes
FAMILY,3.5,13,42,100,Paid,0.99,Everyone,2016,yes,yes
FAMILY,4.6,61264,43,1000000,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4.3,21804,44,1000000,Paid,0.99,Everyone 10+,2018,yes,yes
PERSONALIZATION,5,1,46,10,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4.2,38,47,1000,Paid,0.99,Everyone,2014,yes,yes
FAMILY,4.5,623,47,5000,Paid,0.99,Everyone,2018,yes,yes
FAMILY,4,751,49,10000,Paid,0.99,Everyone,2014,yes,yes
FAMILY,4.3,105,51,1000,Paid,0.99,Teen,2017,yes,yes
PERSONALIZATION,5,1,60,100,Paid,0.99,Everyone,2018,yes,yes
GAME,4.5,20,65,1000,Paid,0.99,Everyone 10+,2018,yes,yes
PERSONALIZATION,4.9,88,66,1000,Paid,0.99,Everyone,2018,yes,yes
FAMILY,5,7,73,10,Paid,0.99,Everyone,2017,yes,yes
PERSONALIZATION,4.8,557,74,10000,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.8,60,78,1000,Paid,0.99,Everyone,2018,yes,yes
GAME,4.7,15,93,100,Paid,0.99,Everyone,2016,yes,yes
GAME,4.3,13604,96,1000000,Paid,0.99,Teen,2018,yes,yes
FAMILY,4.2,1330,96,10000,Paid,0.99,Teen,2018,yes,yes
GAME,4.4,32496,99,1000000,Paid,0.99,Teen,2018,yes,yes
GAME,4.4,38419,100,1000000,Paid,0.99,Everyone 10+,2018,yes,yes
FAMILY,4.1,30,0.014,1000,Paid,0.99,Everyone,2013,yes,yes
PERSONALIZATION,3.7,21,0.376,500,Paid,0.99,Everyone,2013,yes,yes
COMMUNICATION,3.7,481,0.42,10000,Paid,0.99,Everyone,2015,yes,yes
FAMILY,2.8,5,0.629,50,Paid,0.99,Everyone,2015,yes,yes
MEDICAL,4.4,578,0.704,10000,Paid,0.99,Everyone,2014,yes,yes
PERSONALIZATION,4.4,1591,0.779,10000,Paid,0.99,Everyone,2015,yes,yes
COMMUNICATION,3.8,9,0.78,100,Paid,0.99,Everyone,2015,yes,yes
TOOLS,4,22,0.082,1000,Paid,0.99,Everyone,2014,yes,yes
PERSONALIZATION,5,5,0.861,100,Paid,0.99,Everyone,2018,yes,yes
PERSONALIZATION,4.2,6,0.089,50,Paid,0.99,Everyone,2013,yes,yes
PERSONALIZATION,4.5,69,0.951,1000,Paid,0.99,Everyone,2017,yes,yes
SPORTS,4.4,552,1.6,5000,Paid,1,Everyone,2018,yes,yes
TOOLS,4.5,142,0.026,5000,Paid,1,Everyone,2011,yes,yes
FAMILY,4.2,1405,9.5,10000,Paid,1.2,Everyone,2018,yes,yes
PRODUCTIVITY,4.1,66,0.017,1000,Paid,1.29,Everyone,2013,yes,yes
COMMUNICATION,2.3,223,1,5000,Paid,1.49,Everyone,2014,yes,yes
FAMILY,1,1,2,50,Paid,1.49,Everyone,2012,yes,yes
TOOLS,4.2,5,2.5,100,Paid,1.49,Everyone,2018,yes,yes
TOOLS,1.8,53,3.4,1000,Paid,1.49,Everyone,2018,yes,yes
COMMUNICATION,4.8,6,3.5,100,Paid,1.49,Everyone,2018,yes,yes
FAMILY,4.8,4,3.6,100,Paid,1.49,Teen,2017,yes,yes
COMMUNICATION,4.3,12,3.7,100,Paid,1.49,Everyone,2018,yes,yes
FAMILY,5,1,3.7,10,Paid,1.49,Everyone,2018,yes,yes
COMMUNICATION,3.5,10,3.8,100,Paid,1.49,Everyone,2018,yes,yes
PERSONALIZATION,4.6,5,4.3,100,Paid,1.49,Everyone,2018,yes,yes
PERSONALIZATION,4.6,5,4.5,100,Paid,1.49,Everyone,2018,yes,yes
PERSONALIZATION,4.2,35,5.2,500,Paid,1.49,Everyone,2018,yes,yes
PHOTOGRAPHY,4.5,1376,5.5,100000,Paid,1.49,Everyone,2018,yes,yes
PERSONALIZATION,4.4,8,6.2,100,Paid,1.49,Everyone,2018,yes,yes
FAMILY,4.5,18612,8.5,100000,Paid,1.49,Everyone,2015,yes,yes
PHOTOGRAPHY,4.1,41,11,500,Paid,1.49,Everyone,2016,yes,yes
PERSONALIZATION,4.4,230,11,1000,Paid,1.49,Everyone,2018,yes,yes
PERSONALIZATION,4.3,25,15,500,Paid,1.49,Everyone,2017,yes,yes
PERSONALIZATION,4.8,18,16,5000,Paid,1.49,Everyone,2018,yes,yes
PRODUCTIVITY,4.6,1880,18,50000,Paid,1.49,Everyone,2018,yes,yes
GAME,5,2,20,1,Paid,1.49,Everyone,2017,yes,yes
FAMILY,4.2,5,40,50,Paid,1.49,Everyone,2014,yes,yes
PERSONALIZATION,3.6,5,45,500,Paid,1.49,Everyone,2017,yes,yes
PERSONALIZATION,4.8,201,68,1000,Paid,1.49,Everyone,2018,yes,yes
TOOLS,4.6,159,0.029,1000,Paid,1.49,Everyone,2011,yes,yes
PERSONALIZATION,5,13,0.5,100,Paid,1.49,Everyone,2017,yes,yes
COMMUNICATION,4.8,10,0.516,100,Paid,1.49,Everyone,2015,yes,yes
PERSONALIZATION,4.2,33,0.857,500,Paid,1.49,Everyone,2016,yes,yes
MEDICAL,4.2,74,2.6,1000,Paid,1.5,Everyone,2014,yes,yes
FAMILY,4.5,630,8.3,10000,Paid,1.59,Everyone,2018,yes,yes
GAME,4.2,131,23,1000,Paid,1.61,Everyone,2016,yes,yes
PERSONALIZATION,4.2,59,8.1,1000,Paid,1.7,Everyone,2015,yes,yes
PERSONALIZATION,4.4,83,8.6,1000,Paid,1.7,Everyone,2015,yes,yes
BOOKS_AND_REFERENCE,5,5,7.2,50,Paid,1.75,Everyone,2015,yes,yes
TOOLS,4.5,2,3.9,50,Paid,1.76,Everyone,2017,yes,yes
TOOLS,4.5,313,4.4,10000,Paid,1.97,Everyone,2015,yes,yes
TOOLS,4,88,2,10000,Paid,1.99,Everyone,2018,yes,yes
TOOLS,4.8,615,2,10000,Paid,1.99,Everyone,2018,yes,yes
TOOLS,4.4,20,2.2,500,Paid,1.99,Everyone,2014,yes,yes
FAMILY,5,12,2.4,100,Paid,1.99,Everyone,2017,yes,yes
TOOLS,3.3,40,2.7,1000,Paid,1.99,Everyone,2018,yes,yes
WEATHER,3.8,11,2.9,500,Paid,1.99,Everyone,2018,yes,yes
ART_AND_DESIGN,4.7,801,3.5,5000,Paid,1.99,Everyone,2018,yes,yes
ART_AND_DESIGN,4.7,149,3.5,1000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.7,15,3.9,100,Paid,1.99,Everyone,2018,yes,yes
TOOLS,4.4,1774,4.1,10000,Paid,1.99,Everyone,2017,yes,yes
GAME,4,48,4.1,1000,Paid,1.99,Everyone,2014,yes,yes
FAMILY,4.7,143,4.4,1000,Paid,1.99,Everyone,2018,yes,yes
PERSONALIZATION,4,1546,4.5,10000,Paid,1.99,Everyone,2014,yes,yes
BOOKS_AND_REFERENCE,3.1,50,4.9,1000,Paid,1.99,Everyone,2017,yes,yes
MEDICAL,4.1,12,5.1,1000,Paid,1.99,Everyone,2017,yes,yes
HEALTH_AND_FITNESS,3.9,2057,6.2,50000,Paid,1.99,Everyone,2017,yes,yes
TOOLS,5,2,6.3,100,Paid,1.99,Everyone,2018,yes,yes
GAME,4.5,2,7.8,100,Paid,1.99,Everyone,2015,yes,yes
ART_AND_DESIGN,4.8,1216,8.6,10000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.8,16,8.9,500,Paid,1.99,Everyone,2017,yes,yes
FAMILY,4.4,2311,9.3,100000,Paid,1.99,Everyone,2015,yes,yes
FINANCE,2.4,36,9.4,1000,Paid,1.99,Everyone,2015,yes,yes
PHOTOGRAPHY,4.6,617,12,10000,Paid,1.99,Everyone,2016,yes,yes
SPORTS,4.3,340,15,5000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.3,11,20,500,Paid,1.99,Everyone 10+,2016,yes,yes
SPORTS,4.4,426,21,5000,Paid,1.99,Everyone,2016,yes,yes
FAMILY,4.6,28,23,1000,Paid,1.99,Everyone,2014,yes,yes
GAME,4.5,7687,23,100000,Paid,1.99,Everyone,2017,yes,yes
SPORTS,4.6,60,24,1000,Paid,1.99,Everyone,2014,yes,yes
FAMILY,3.4,642,26,10000,Paid,1.99,Everyone 10+,2015,yes,yes
GAME,5,4,33,50,Paid,1.99,Teen,2013,yes,yes
GAME,4.6,19922,35,100000,Paid,1.99,Everyone 10+,2018,yes,yes
PERSONALIZATION,4.1,291,35,5000,Paid,1.99,Everyone,2016,yes,yes
GAME,4.3,5682,37,50000,Paid,1.99,Everyone,2017,yes,yes
PERSONALIZATION,4.5,90,37,1000,Paid,1.99,Everyone,2018,yes,yes
PERSONALIZATION,4.6,29,39,100,Paid,1.99,Everyone,2018,yes,yes
FAMILY,3,76,39,5000,Paid,1.99,Everyone,2018,yes,yes
FAMILY,4.4,925,40,10000,Paid,1.99,Everyone,2014,yes,yes
GAME,4,267,40,10000,Paid,1.99,Everyone,2017,yes,yes
PERSONALIZATION,4.7,1500,41,10000,Paid,1.99,Everyone,2017,yes,yes
GAME,4.4,2975,42,50000,Paid,1.99,Everyone,2016,yes,yes
LIFESTYLE,4.9,145,48,5000,Paid,1.99,Mature 17+,2016,yes,yes
GAME,3.9,168,49,5000,Paid,1.99,Everyone 10+,2017,yes,yes
HEALTH_AND_FITNESS,4.8,787,53,1000,Paid,1.99,Everyone,2018,yes,yes
GAME,3.9,24,64,1000,Paid,1.99,Teen,2017,yes,yes
FAMILY,4.7,188740,69,1000000,Paid,1.99,Everyone,2018,yes,yes
SPORTS,4.4,129409,73,1000000,Paid,1.99,Everyone,2018,yes,yes
GAME,4.7,16851,81,100000,Paid,1.99,Everyone 10+,2018,yes,yes
GAME,3.7,42529,92,500000,Paid,1.99,Teen,2016,yes,yes
PERSONALIZATION,4.3,505,0.288,10000,Paid,1.99,Everyone,2013,yes,yes
MEDICAL,4.5,163,0.375,10000,Paid,1.99,Everyone,2015,yes,yes
TOOLS,4.2,928,0.383,10000,Paid,1.99,Everyone,2014,yes,yes
PRODUCTIVITY,4.4,26358,0.05,500000,Paid,1.99,Everyone,2014,yes,yes
PERSONALIZATION,4.4,18,2.1,500,Paid,2,Everyone,2013,yes,yes
COMMUNICATION,4.6,94,1.1,1000,Paid,2.49,Everyone,2015,yes,yes
LIFESTYLE,3.6,126,1.4,5000,Paid,2.49,Everyone,2018,yes,yes
SHOPPING,4.8,14,2.7,100,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.3,28728,2.8,500000,Paid,2.49,Everyone,2013,yes,yes
SPORTS,4.6,200,3,1000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.6,71,5.7,500,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.6,26,8.5,100,Paid,2.49,Everyone,2017,yes,yes
BUSINESS,3.7,3,11,10,Paid,2.49,Everyone,2014,yes,yes
PERSONALIZATION,4.2,97890,14,1000000,Paid,2.49,Everyone,2016,yes,yes
PERSONALIZATION,4.7,4856,18,50000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.2,13,23,1000,Paid,2.49,Everyone,2017,yes,yes
GAME,4.1,155,32,1000,Paid,2.49,Everyone,2018,yes,yes
FAMILY,4.3,6,33,1000,Paid,2.49,Everyone,2017,yes,yes
FAMILY,3.8,45,47,10000,Paid,2.49,Everyone,2018,yes,yes
PERSONALIZATION,4.8,133,59,1000,Paid,2.49,Everyone,2018,yes,yes
TRAVEL_AND_LOCAL,3.6,892,70,50000,Paid,2.49,Everyone,2018,yes,yes
TRAVEL_AND_LOCAL,3.4,39,32,1000,Paid,2.56,Everyone,2013,yes,yes
TOOLS,4.7,1363,1.6,10000,Paid,2.59,Everyone,2017,yes,yes
COMMUNICATION,4.2,5599,1.3,100000,Paid,2.9,Everyone,2018,yes,yes
TOOLS,4.4,319,1.1,10000,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.4,457,1.1,10000,Paid,2.99,Everyone,2016,yes,yes
MEDICAL,5,2,1.2,500,Paid,2.99,Everyone,2015,yes,yes
FAMILY,4.7,3,1.5,1000,Paid,2.99,Everyone,2017,yes,yes
TOOLS,4.7,6505,2,50000,Paid,2.99,Everyone,2017,yes,yes
TOOLS,4.6,85,2.4,1000,Paid,2.99,Everyone,2018,yes,yes
FINANCE,4,67,2.4,10000,Paid,2.99,Everyone,2017,yes,yes
COMMUNICATION,4.6,265,2.6,10000,Paid,2.99,Everyone,2018,yes,yes
BUSINESS,4.2,2359,2.7,10000,Paid,2.99,Everyone,2016,yes,yes
MEDICAL,4.5,133,2.8,10000,Paid,2.99,Everyone,2014,yes,yes
FAMILY,4.8,97,3.5,1000,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.7,963,3.7,10000,Paid,2.99,Everyone,2018,yes,yes
NEWS_AND_MAGAZINES,4.9,58,3.8,500,Paid,2.99,Everyone,2018,yes,yes
LIFESTYLE,4.6,275,3.9,5000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,2.7,90,4,5000,Paid,2.99,Everyone,2017,yes,yes
SHOPPING,4.2,470,4.1,10000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,3,20,4.3,1000,Paid,2.99,Everyone,2018,yes,yes
SPORTS,4.6,315,4.3,1000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,4.3,3,4.6,100,Paid,2.99,Everyone,2018,yes,yes
TOOLS,4.7,3,5.3,10,Paid,2.99,Everyone,2018,yes,yes
PRODUCTIVITY,4.4,936,5.4,50000,Paid,2.99,Everyone,2018,yes,yes
GAME,4.3,3904,5.5,10000,Paid,2.99,Everyone 10+,2014,yes,yes
PHOTOGRAPHY,4.6,28107,5.7,500000,Paid,2.99,Everyone,2018,yes,yes
SPORTS,3.7,84,6.3,1000,Paid,2.99,Everyone,2018,yes,yes
PERSONALIZATION,4.3,2538,6.4,100000,Paid,2.99,Everyone,2018,yes,yes
PRODUCTIVITY,4.7,81614,6.6,500000,Paid,2.99,Everyone,2018,yes,yes
PHOTOGRAPHY,4.3,12865,6.9,100000,Paid,2.99,Everyone,2014,yes,yes
FINANCE,4.7,19784,7.3,100000,Paid,2.99,Everyone,2018,yes,yes
PERSONALIZATION,4.2,1531,7.7,10000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.3,41,7.9,1000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.6,7148,8.1,100000,Paid,2.99,Everyone,2017,yes,yes
HEALTH_AND_FITNESS,3.9,1075,8.3,50000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,3.8,206,9.5,10000,Paid,2.99,Everyone,2018,yes,yes
MEDICAL,3.4,77,9.9,5000,Paid,2.99,Everyone,2017,yes,yes
TRAVEL_AND_LOCAL,4.5,339,10,5000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.5,197,11,1000,Paid,2.99,Everyone,2017,yes,yes
PRODUCTIVITY,3.4,5,11,100,Paid,2.99,Everyone,2016,yes,yes
FAMILY,4.6,73,12,1000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.3,363,14,1000,Paid,2.99,Everyone 10+,2013,yes,yes
FAMILY,4.4,766,14,10000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.2,32812,14,500000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.3,382,15,10000,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.1,1143,15,10000,Paid,2.99,Everyone 10+,2013,yes,yes
FAMILY,1,1,16,10,Paid,2.99,Everyone,2016,yes,yes
GAME,4.7,416,16,10000,Paid,2.99,Teen,2017,yes,yes
FAMILY,4.6,15301,18,100000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,3.9,1213,18,10000,Paid,2.99,Everyone,2015,yes,yes
FAMILY,4.5,709,18,5000,Paid,2.99,Everyone,2015,yes,yes
FAMILY,3,2,18,50,Paid,2.99,Everyone,2017,yes,yes
FAMILY,4.5,4656,20,100000,Paid,2.99,Everyone 10+,2017,yes,yes
FAMILY,3.9,46,20,10000,Paid,2.99,Everyone,2018,yes,yes
FAMILY,4.4,3570,21,100000,Paid,2.99,Everyone 10+,2017,yes,yes
FAMILY,4.7,19209,21,100000,Paid,2.99,Everyone,2016,yes,yes
